arraySize, tInsSort, tSelSort, tMergeSort, tQuickSort 
1, 0.00, 0.00, 0.00, 0.00 
101, 0.00, 0.07, 0.02, 0.07 
301, 0.01, 0.60, 0.04, 0.55 
601, 0.02, 2.34, 0.06, 1.95 
1001, 0.03, 6.48, 0.11, 5.23 
1501, 0.04, 14.43, 0.14, 11.63 
2101, 0.05, 28.28, 0.21, 22.63 
2801, 0.07, 50.04, 0.26, 40.06 
3601, 0.09, 82.94, 0.36, 66.10 
4501, 0.11, 129.25, 0.42, 103.15 
5501, 0.15, 192.45, 0.48, 153.86 
6601, 0.17, 277.08, 0.63, 221.26 
7801, 0.19, 386.88, 0.75, 308.72 
9101, 0.22, 527.12, 0.81, 420.58 
10501, 0.26, 702.65, 0.91, 560.26 
12001, 0.29, 919.59, 1.14, 732.62 
13601, 0.33, 1182.21, 1.33, 941.15 
15301, 0.37, 1497.21, 1.49, 1191.92 
17101, 0.41, 1870.87, 1.57, 1489.15 
19001, 0.46, 2311.86, 1.68, 1838.74 
21001, 0.52, 2823.95, 1.86, 2246.26 
23101, 0.56, 3417.91, 2.04, 2718.63 
25301, 0.61, 4099.81, 2.37, 3260.93 
arraySize, tInsSort, tSelSort, tMergeSort, tQuickSort 
1, 0.00, 0.00, 0.00, 0.00 
101, 0.00, 0.12, 0.02, 0.08 
301, 0.01, 0.60, 0.04, 0.56 
601, 0.01, 2.36, 0.06, 2.02 
1001, 0.03, 6.47, 0.11, 5.44 
1501, 0.04, 14.40, 0.14, 11.98 
2101, 0.05, 28.20, 0.21, 23.22 
2801, 0.07, 49.89, 0.26, 40.96 
3601, 0.09, 82.42, 0.35, 67.36 
4501, 0.11, 128.60, 0.42, 104.96 
5501, 0.13, 193.21, 0.49, 156.34 
6601, 0.16, 276.81, 0.62, 224.99 
7801, 0.19, 386.20, 0.81, 313.85 
9101, 0.22, 526.16, 0.86, 426.75 
10501, 0.25, 704.98, 0.88, 569.67 
12001, 0.30, 925.33, 1.11, 740.75 
13601, 0.33, 1181.20, 1.30, 951.09 
15301, 0.37, 1496.99, 1.52, 1203.18 
17101, 0.44, 1869.62, 1.61, 1502.84 
19001, 0.46, 2310.03, 1.67, 1854.84 
21001, 0.53, 2822.87, 1.81, 2265.36 
23101, 0.56, 3415.26, 2.09, 2741.44 
25301, 0.61, 4099.18, 2.39, 3286.93 
27601, 0.67, 4877.92, 2.58, 3910.76 
30001, 0.72, 5762.89, 2.92, 4619.80 
32501, 0.79, 6764.96, 3.24, 5422.14 
arraySize, tInsSort, tSelSort, tMergeSort, tQuickSort 
1, 0.00, 0.00, 0.00, 0.00 
101, 0.00, 0.07, 0.02, 0.09 
301, 0.01, 0.60, 0.04, 0.56 
601, 0.02, 2.36, 0.05, 2.08 
1001, 0.03, 6.43, 0.11, 5.45 
1501, 0.04, 14.35, 0.14, 11.97 
2101, 0.05, 28.09, 0.20, 23.28 
2801, 0.07, 49.79, 0.26, 40.91 
3601, 0.09, 82.29, 0.35, 67.30 
4501, 0.11, 128.43, 0.45, 104.76 
5501, 0.13, 191.91, 0.48, 156.18 
6601, 0.18, 276.33, 0.62, 224.45 
